PhaseII,PhaseIII
37625450,37625450
37625450,37625450
37625450,37625450
37625450,37625450
37625450,7314611
31312839,4600000
31312839,4600000
4800000,4600000
10711236,4600000
10711236,4600000
8000000,4600000
4600000,4600000
4600000,80000000
80000000,80000000
3131967,6900000
4824578,6900000
4824578,6900000
4467348,6900000
4467348,4824578
4467348,4824578
16999141,4467348
16999141,4467348
20303715,4467348
82615880,3000000
6243873,16999141
143000000,16999141
143000000,16590192
143000000,20303715
143000000,20303715
3500000,3500000
26200000,4934090
45273890,10268282
45273890,10268282
45273890,10268282
45273890,100000000
45273890,100000000
45273890,100000000
45273890,100000000
45273890,100000000
45273890,100000000
45273890,100000000
45273890,100000000
100000000,100000000
100000000,100000000
100000000,100000000
100000000,100000000
100000000,100000000
100000000,100000000
190061000,1000000
49938251,1000000
49938251,35194730
23422141,5186144
12881396,31612687
1600000,5923381
35194730,5923381
35194730,10179809
35194730,46913999
6309050,46913999
6309050,13308376
6309050,13308376
6309050,3300000
5923381,5159907
5923381,5159907
5923381,3215149
5923381,3215149
24095000,6387562
24095000,6387562
4422828,34495999
4422828,9315015
14721049,4000000
3114907,4266521
3647689,4266521
24442362,48184636
24442362,5364099
7529245,6666526
7529245,125000000
11700000,18193744
8700764,5148288
46751000,14199436
46751000,22784765
46751000,22784765
46751000,22784765
46418016,3549725
46418016,3549725
46418016,3549725
46418016,3283689
46418016,257100000
46418016,9430000
3786811,41419165
4500000,41419165
13463207,41419165
12153539,6000000
12153539,6000000
3681229,6000000
27281597,6000000
6387562,6000000
24557316,6000000
34495999,7460881
34495999,7460881
4696422,12000000
4696422,6098582
9315015,6098582
4266521,80000000
4266521,80000000
4266521,80000000
4266521,4317763
6752344,4317763
6752344,11000000
41100000,11000000
3801644,11000000
12500000,11000000
12500000,21900000
12500000,21900000
11554176,3442401
3234838,32783000
3234838,32783000
125000000,32783000
18193744,30295796
18193744,30295796
18193744,30295796
18193744,30295796
18193744,30295796
5648401,62771542
5648401,62771542
9507423,62771542
6240718,7176923
14259000,5589228
288504,5589228
3844474,5589228
3185232,3016019
22784765,3016019
22784765,5010237
22784765,19800000
22784765,151061000
22784765,151061000
22784765,9035458
22784765,9035458
22784765,3577993
22784765,115064000
9400000,115064000
3549725,17927740
6421303,17927740
3081604,17927740
9008979,13605715
41419165,13605715
41419165,4816362
41419165,4816362
41419165,5288562
41419165,32277566
41419165,5646152
9092818,5646152
6000000,4732819
6000000,4732819
23000000,9751603
67569343,9751603
67569343,9751603
6864360,9751603
26122078,9751603
22994047,10258736
9807363,10258736
80000000,7954844
80000000,5778193
80000000,3850734
80000000,27435463
80000000,27435463
80000000,13622589
80000000,3665000
80000000,3665000
3124420,6366226
1000,33381967
1000,33381967
9734131,33381967
11000000,9250734
11000000,46753409
11000000,46753409
10970426,46753409
10970426,22000000
10970426,4998369
28692208,16222797
21900000,16222797
21900000,16222797
9492837,16222797
9492837,16222797
9492837,16222797
15065353,48200000
32783000,28187547
32783000,28187547
32783000,6856782
32783000,4000000
32783000,3019512
38681982,3019512
38681982,3019512
38828000,4893027
38828000,9026046
30295796,54332311
30295796,126000000
30295796,126000000
30295796,126000000
17500000,126000000
46800000,126000000
62771542,126000000
62771542,126000000
62771542,55581296
62771542,4763103
62771542,4763103
62771542,4909895
53565166,114908745
53565166,114908745
53565166,114908745
8464750,114908745
5061358,114908745
5061358,114908745
5061358,114908745
5923381,114908745
5923381,114908745
3016019,114908745
4450564,114908745
19800000,114908745
19800000,114908745
151061000,1800000
151061000,16811623
39000000,4062897
10185678,5108730
10185678,3500000
10185678,3500000
26445909,3150278
115064000,3150278
115064000,3150278
10501908,3150278
17927740,7736186
4816362,3283330
4593017,3100000
5288562,4951430
12200000,4505918
12200000,4505918
32277566,4505918
32277566,30190432
32277566,30190432
32277566,30190432
5646152,30190432
9751603,30190432
9751603,30190432
17383269,30190432
3943101,100000000
3943101,100000000
6772460,100000000
10258736,100000000
10258736,100000000
10258736,100000000
10395602,6589094
5778193,7800000
5778193,133510587
5803557,107000000
5803557,3127252
5803557,3127252
5803557,3127252
27435463,3127252
4918983,3127252
6038465,3127252
13622589,33000000
13622589,33000000
3665000,33000000
6366226,33000000
6366226,33000000
6058292,33000000
3067843,4374000
4811290,11673846
4811290,11673846
4811290,11673846
4811290,11673846
4811290,4491716
4811290,4491716
4811290,18237980
17300000,18237980
17300000,18237980
56021336,18237980
56021336,18237980
33381967,56431363
9250734,3243032
4973426,3230414
4905934,12160685
4905934,12160685
4905934,78616000
46753409,5365293
46753409,3760147
46753409,3760147
46753409,3760147
46753409,3760147
5883991,182785152
5883991,182785152
5883991,182785152
19406315,182785152
19406315,3000000
15000000,5000000
15000000,5000000
8732161,5000000
15696749,21777110
3106394,11400000
12816435,405447096
390000,405447096
390000,7371193
2732000,37000000
48200000,37000000
28187547,37000000
5099165,37000000
5099165,37000000
5099165,37000000
10837369,37000000
10837369,39838434
55368568,39838434
55368568,39838434
4000000,39838434
14405471,4411762
6000000,5012881
6000000,11200000
9518589,11200000
126000000,3251325
126000000,3251325
126000000,
126000000,
126000000,
126000000,
