PhaseII,PhaseIII
749972,850365
749998,4469017
749978,1499990
1499970,3482480
3999979,749965
740707,1199320
715518,1475870
441226,750000
749823,1168060
412591,1115580
1505760,749920
749817,1488128
749919,998716
1145860,773783
722631,1249686
2346999,899912
906224,3770807
1499964,1499977
742281,1493492
1099150,1704854
549582,1093141
747718,3142917
749861,4269563
599979,997198
1349544,999768
495585,900390
445361,1249140
445367,1474620
750000,1749878
2067181,1481463
996234,749989
1890000,998285
747296,1857584
736382,1149891
498188,2698680
658231,1492803
730000,737643
500000,299980
750000,1194157
1849971,749943
737162,989255
1843276,1465040
487098,1199172
998654,600000
2999910,749979
1125000,1200242
4273910,891400
599727,2929690
648187,1203938
999633,249997
787039,1471352
1599930,375000
749661,1426050
875921,778008
749149,749975
1499023,2164370
1499988,750000
1749186,1359930
6299937,749399
749905,2248133
1453324,1686300
999652,749904
999937,929855
4056590,745289
2248730,800767
509451,749659
538422,1579436
1068040,1500000
751743,746632
743043,581896
930653,2249990
704676,999711
2999759,600000
1874747,995231
1499989,2375670
1586690,600000
744259,2508291
749997,2540484
997228,597567
999051,2499881
791255,3366164
1203934,2472815
749957,789719
999922,747900
1249867,481553
1737980,2499994
1498751,300000
749281,499925
749806,750878
249987,749999
1500000,899816
1499759,1314795
1899859,750001
1414479,1949975
794952,1499995
167175,1099441
2992336,890074
1537353,673704
742151,1114890
698339,3065820
1611673,691081
749293,1028483
600000,849421
449998,749998
738228,1534983
1477304,704756
749999,499972
295998,2099550
749929,924601
749929,1125310
985830,2249520
749964,749824
1431955,749484
745677,895953
746980,791367
749878,2999860
1199954,1499927
647688,1007546
499567,791957
956118,499396
1997762,3082990
928263,985564
2999925,377966
1499968,597197
600000,1186388
999814,749965
899879,1049665
735708,1493080
729717,749999
999934,999935
1102220,150000
742795,1038853
749999,848400
5236444,999452
999239,499980
999957,750000
1717145,924020
2999878,740237
249976,799991
500000,749990
1472850,1235432
437688,1935231
749954,1184992
700000,1637000
436751,1318330
1632980,2237120
749993,1508395
1229950,365591
3634940,776032
749998,1830260
749689,830136
723320,931873
1688047,1764380
999932,749934
1497977,999995
3304450,2498380
