PhaseII,PhaseIII
10,4
5,7
6,6
6,1
8,11
7,0
10,5
8,0
19,0
17,5
13,6
1,9
6,17
16,13
14,8
34,6
30,16
15,3
6,24
5,26
31,12
34,6
9,6
46,14
10,42
6,46
6,16
6,4
8,11
8,6
15,7
11,29
17,32
13,35
17,38
17,41
11,32
18,36
18,38
19,35
15,31
24,31
9,37
6,27
43,34
32,37
33,35
29,28
3,12
16,9
12,9
41,18
14,26
25,14
3,22
9,15
4,23
12,18
12,11
5,13
3,0
28,18
18,13
12,5
13,9
41,29
42,33
37,16
40,13
13,7
4,43
9,47
20,36
18,13
5,3
10,21
7,26
29,23
14,27
18,18
15,16
14,19
35,13
32,16
35,23
32,0
35,45
34,12
23,23
8,29
20,21
14,5
17,11
26,6
25,8
27,7
21,3
13,19
10,16
8,7
14,12
17,7
43,0
39,4
54,7
49,8
16,10
19,22
7,22
19,25
19,25
19,4
19,3
49,21
14,28
15,30
19,34
25,13
30,8
20,2
31,1
27,1
6,26
5,22
6,33
1,23
14,15
27,11
22,7
14,14
12,17
13,45
15,19
19,9
20,13
22,22
18,31
19,25
18,29
20,19
23,28
16,30
20,31
30,20
30,24
24,44
24,41
24,15
22,29
30,11
5,23
9,12
12,9
6,36
9,44
2,37
24,32
48,44
22,29
21,17
9,18
5,11
1,15
2,21
9,35
2,16
4,8
12,4
12,25
14,21
9,14
4,19
25,14
23,29
26,34
7,29
7,21
5,5
12,7
8,16
12,21
9,20
14,17
13,21
65,13
30,32
35,27
39,17
29,2
37,14
7,14
10,24
17,35
6,34
13,8
11,23
2,21
12,27
23,24
8,27
30,33
32,32
16,39
33,22
29,20
31,6
1,8
2,16
2,25
25,21
8,20
5,16
9,7
6,20
3,24
12,21
25,25
14,9
10,14
9,8
11,6
11,27
32,38
16,21
16,20
13,5
19,3
28,8
1,4
24,19
35,5
20,19
23,13
31,6
20,9
38,18
41,38
41,37
38,32
8,29
36,40
49,43
45,32
19,35
16,23
17,32
25,26
30,38
31,31
29,3
23,14
22,20
7,18
3,14
12,9
7,17
30,10
20,12
20,17
13,11
21,6
20,7
36,17
39,6
28,14
17,2
26,19
24,20
33,24
20,18
34,14
30,10
31,11
7,14
10,10
9,15
13,13
23,37
14,7
13,24
13,35
12,30
10,19
30,50
41,12
44,22
44,14
39,16
36,42
31,51
21,50
21,54
35,25
11,21
8,18
9,26
0,1
9,16
30,6
17,12
8,38
18,20
14,17
30,16
12,27
16,17
17,17
33,18
31,16
29,19
30,26
5,9
11,2
20,4
22,6
8,4
29,28
25,23
30,
34,
21,
28,
31,
26,
45,
36,
39,
64,
26,
12,
8,
11,
11,
17,
24,
20,
11,
24,
11,
10,
16,
18,
13,
24,
23,
14,
16,
24,
25,
17,
27,
9,
11,
15,
12,
35,
40,
12,
5,
15,
17,
32,
26,
29,
13,
13,
7,
8,
10,
3,
6,
7,
11,
16,
28,
18,
14,
33,
8,
3,
9,
5,
18,
15,
12,
22,
15,
12,
25,
14,
12,
43,
8,
18,
16,
7,
7,
16,
10,
19,
21,
14,
23,
7,
15,
21,
20,
10,
24,
22,
23,
13,
35,
45,
43,
33,
44,
43,
41,
32,
7,
9,
4,
19,
32,
12,
18,
32,
9,
5,
5,
4,
47,
49,
44,
42,
33,
29,
31,
12,
14,
19,
19,
33,
28,
31,
8,
15,
12,
63,
59,
65,
61,
8,
17,
25,
40,
32,
28,
24,
23,
36,
28,
12,
10,
3,
31,
34,
33,
31,
21,
24,
31,
14,
22,
23,
14,
13,
21,
48,
16,
19,
4,
16,
13,
8,
22,
2,
5,
16,
43,
40,
25,
