PhaseII,PhaseIII
180,44
53,86
72,72
72,3
125,44
105,42
97,90
25,35
55,40
49,90
7,89
58,84
89,177
150,32
24,9
25,5
40,9
31,8
36,19
33,24
100,33
95,33
95,35
200,7
35,96
32,100
40,60
40,40
61,110
16,3
45,10
80,61
120,74
105,85
120,335
115,253
70,300
125,333
125,300
114,360
95,225
130,250
15,335
11,174
244,341
280,335
332,333
192,171
50,10
136,7
90,35
77,15
80,159
60,7
2,12
35,39
4,85
28,72
28,19
6,23
5,30
22,38
15,35
7,18
7,36
96,24
90,24
19,130
22,51
43,24
18,31
20,30
50,250
45,27
11,40
20,460
165,50
49,13
68,55
83,130
83,72
68,130
150,16
130,25
150,25
130,60
145,31
145,20
145,79
18,90
165,94
40,15
77,65
50,15
125,36
18,15
71,5
105,15
281,7
12,35
28,80
44,75
32,8
35,22
31,22
31,18
50,34
31,36
95,35
28,33
27,35
70,37
65,22
25,7
14,129
19,113
37,60
60,140
55,85
63,12
58,6
57,6
67,115
56,95
9,200
4,309
40,20
3,26
64,27
25,30
72,30
100,28
114,43
130,10
130,25
163,22
130,41
130,20
130,215
33,220
25,120
50,183
7,183
35,49
98,70
78,30
78,29
80,35
90,47
101,24
10,22
61,25
65,25
70,25
39,32
3,27
15,18
45,29
22,32
28,15
115,36
23,21
17,12
20,80
115,199
30,27
28,10
218,1
14,3
10,40
10,18
12,52
31,35
35,158
36,230
13,158
13,35
24,15
225,22
83,33
109,50
41,50
110,33
110,50
100,185
113,110
60,150
57,20
121,2
54,8
33,8
80,20
53,41
7,39
135,130
120,198
12,135
110,235
100,229
125,255
150,334
200,289
60,135
200,20
145,14
155,14
372,96
160,456
160,484
27,488
15,453
10,465
30,50
17,453
4,478
25,442
45,468
35,144
10,397
12,32
15,24
45,13
65,15
80,13
73,13
100,7
220,3
269,18
100,4
130,9
16,14
15,30
30,23
52,55
36,48
68,50
150,48
150,50
65,50
25,30
24,49
45,56
48,40
26,393
22,185
40,360
40,280
29,408
25,345
45,10
30,35
25,469
12,375
7,25
19,12
12,27
155,17
65,19
35,23
19,62
20,16
150,17
12,200
25,16
63,100
15,14
13,55
15,55
17,105
9,45
17,25
18,30
18,70
48,80
47,85
65,85
98,85
45,379
35,10
22,14
69,51
69,45
65,260
169,28
235,26
213,67
213,30
357,33
10,329
12,334
28,336
120,419
200,11
165,12
90,10
49,14
96,35
80,155
72,130
8,275
7,25
13,75
204,76
110,63
14,145
16,76
18,80
62,69
51,62
16,56
248,54
5,46
40,5
11,9
12,56
135,25
283,14
227,36
298,
372,
125,
255,
283,
227,
179,
150,
165,
50,
30,
25,
14,
240,
210,
465,
478,
462,
211,
468,
208,
144,
456,
453,
312,
478,
496,
410,
444,
468,
16,
62,
13,
10,
18,
6,
5,
84,
202,
22,
6,
14,
16,
14,
16,
16,
20,
20,
12,
20,
22,
4,
12,
12,
47,
65,
156,
96,
85,
10,
35,
12,
32,
17,
80,
55,
33,
80,
48,
35,
11,
27,
22,
56,
15,
49,
65,
35,
9,
27,
15,
23,
280,
100,
27,
11,
43,
115,
75,
39,
105,
115,
105,
25,
416,
330,
343,
428,
349,
339,
383,
470,
29,
21,
20,
56,
50,
15,
50,
300,
15,
46,
18,
16,
376,
340,
403,
333,
60,
22,
454,
35,
60,
80,
80,
400,
200,
271,
8,
27,
20,
312,
300,
300,
329,
155,
71,
43,
195,
105,
85,
52,
58,
120,
87,
47,
145,
150,
93,
99,
86,
91,
125,
165,
91,
65,
40,
44,
65,
65,
55,
280,
15,
70,
91,
31,
21,
60,
13,
4,
10,
42,
10,
54,
21,
