PhaseII,PhaseIII
20,20
20,20
20,20
20,20
20,56
25,54
25,54
13,54
1,54
1,54
7,54
54,54
54,16
16,16
10,8
38,8
38,8
16,8
16,38
16,38
19,16
19,16
118,16
1,7
22,19
30,19
30,17
30,118
30,118
18,18
1,22
239,125
239,125
239,125
239,177
239,177
239,177
239,177
239,177
239,177
239,177
239,177
3,177
3,177
177,177
177,177
177,177
177,177
22,5
43,5
43,27
4,99
5,7
173,13
27,13
27,1
27,280
7,280
7,13
7,13
7,2
13,107
13,107
13,3
13,3
13,66
13,66
25,73
25,150
44,3
2,124
2,124
14,8
14,23
17,5
17,59
6,50
13,10
6,2
6,38
6,38
6,38
457,37
457,37
457,37
457,6
457,505
457,76
108,89
33,89
117,89
36,5
36,5
9,5
3,5
66,5
135,5
73,5
73,5
6,4
6,2
150,2
124,41
124,41
124,41
124,7
21,7
21,67
71,67
35,67
45,67
45,117
45,117
3,10
22,76
22,76
59,76
50,27
50,27
50,27
50,27
50,27
11,552
11,552
51,552
3,3
6,16
2,16
44,16
16,43
38,43
38,30
38,99
38,22
38,22
38,10
38,10
38,6
38,415
26,415
37,287
9,287
18,287
2,212
89,212
89,14
89,14
89,12
89,27
89,86
3,86
5,45
5,45
5,110
2,110
2,110
64,110
1,110
58,67
11,67
41,37
41,19
41,14
41,84
41,84
41,81
41,6
41,6
25,11
8,51
8,51
17,51
67,44
67,39
67,39
12,39
12,18
12,43
2,1
117,1
117,1
19,1
19,1
19,1
4,7
76,86
76,86
76,11
76,8
76,7
101,7
101,7
21,22
21,36
27,2
27,1065
27,1065
27,1065
58,1065
2,1065
552,1065
552,1065
552,510
552,14
552,14
552,8
99,174
99,174
99,174
9,174
2,174
2,174
2,174
3,174
3,174
43,174
5,174
99,174
99,174
22,3
22,2
36,29
131,23
131,28
131,28
7,40
415,40
415,40
15,40
287,3
14,4
8,24
12,43
24,18
24,18
27,18
27,195
27,195
27,195
86,195
110,195
110,195
5,195
25,16
25,16
78,16
67,16
67,16
67,16
42,5
19,48
19,14
21,4
21,33
21,33
21,33
84,33
39,33
32,33
81,21
81,21
6,21
11,21
11,21
81,21
33,2
20,97
20,97
20,97
20,97
20,41
20,41
20,7
13,7
13,7
26,7
26,7
51,92
44,22
84,6
148,62
148,62
148,2
39,63
39,31
39,31
39,31
39,31
84,178
84,178
84,178
11,178
11,10
5,7
5,7
9,7
31,6
1,20
20,18
5,18
5,41
5,95
7,95
86,95
29,95
29,95
29,95
15,95
15,398
118,398
118,398
8,398
5,3
11,28
11,4
3,4
1065,5
1065,5
1065,
1065,
1065,
1065,
1065,
1065,
510,
510,
510,
20,
2,
39,
2,
174,
174,
174,
174,
174,
174,
174,
174,
174,
174,
174,
174,
174,
174,
174,
174,
174,
16,
6,
29,
3,
49,
2,
2,
89,
89,
9,
9,
28,
28,
28,
28,
28,
40,
40,
40,
40,
40,
40,
40,
19,
19,
38,
38,
9,
9,
24,
31,
9,
9,
9,
145,
145,
145,
98,
98,
98,
4,
4,
4,
195,
44,
3,
48,
4,
56,
33,
33,
33,
21,
21,
8,
39,
97,
97,
97,
97,
97,
97,
97,
41,
92,
92,
92,
92,
92,
92,
92,
3,
5,
7,
5,
203,
203,
25,
116,
20,
29,
1,
1,
2,
178,
178,
178,
178,
46,
46,
7,
41,
41,
41,
41,
32,
32,
32,
11,
18,
18,
31,
31,
31,
31,
6,
20,
9,
275,
275,
275,
275,
275,
275,
275,
23,
61,
61,
95,
95,
95,
95,
95,
95,
95,
398,
398,
398,
398,
398,
5,
140,
7,
36,
8,
85,
85,
4,
7,
2,
2,
5,
9,
42,
16,
