PhaseII,PhaseIII
46084090,46084090
46084090,46084090
46084090,46084090
46084090,46084090
46084090,43069779
10390327,40930593
10390327,40930593
6091636,40930593
452423,40930593
452423,40930593
4983683,40930593
40930593,40930593
40930593,5982988
5982988,5982988
4295408,12013690
21744197,12013690
21744197,12013690
26648487,12013690
26648487,21744197
26648487,21744197
10988496,26648487
10988496,26648487
45023274,26648487
665110,5739744
13130532,10988496
11814026,10988496
11814026,18472654
11814026,45023274
11814026,45023274
10632150,10632150
1145277,13323068
133351961,56770220
133351961,56770220
133351961,56770220
133351961,118357571
133351961,118357571
133351961,118357571
133351961,118357571
133351961,118357571
133351961,118357571
133351961,118357571
133351961,118357571
6657368,118357571
6657368,118357571
118357571,118357571
118357571,118357571
118357571,118357571
118357571,118357571
14711465,2897357
24281982,2897357
24281982,22448573
2364443,44433362
2066294,5414313
54261739,13902388
22448573,13902388
22448573,2234074
22448573,152552603
4180152,152552603
4180152,5469281
4180152,5469281
4180152,1865086
13902388,80974318
13902388,80974318
13902388,1975358
13902388,1975358
4060984,31192253
4060984,31192253
8671498,49443030
8671498,55700642
26476680,1561716
1789782,53315497
1015031,53315497
13250572,3190895
13250572,10506496
12153583,3603112
12153583,38822802
3850360,28964097
6902333,10766024
6906101,793384
6906101,70896106
6906101,70896106
6906101,70896106
237587349,37169472
237587349,37169472
237587349,37169472
237587349,11074034
237587349,138779891
237587349,30711882
53466468,49872889
18543446,49872889
51515506,49872889
20107531,7832177
20107531,7832177
11003771,7832177
439652,7832177
31192253,7832177
77273891,7832177
49443030,3012543
49443030,3012543
3606982,4808857
3606982,2769261
55700642,2769261
53315497,34847528
53315497,34847528
53315497,34847528
53315497,4906601
14816130,4906601
14816130,51448767
54195490,51448767
38582653,51448767
24805895,51448767
24805895,68939301
24805895,68939301
1780939,8365703
11589394,44210059
11589394,44210059
38822802,44210059
28964097,19924587
28964097,19924587
28964097,19924587
28964097,19924587
28964097,19924587
36426035,226948300
36426035,226948300
30406849,226948300
2315087,1524119
3258360,9153416
884868,9153416
13795422,9153416
8463681,32859522
70896106,32859522
70896106,25893559
70896106,37282200
70896106,12980803
70896106,12980803
70896106,6423513
70896106,6423513
70896106,3424603
70896106,185801174
17407776,185801174
37169472,125347462
3656997,125347462
12852496,125347462
802257,92332432
49872889,92332432
49872889,10012927
49872889,10012927
49872889,4625735
49872889,25183378
49872889,39515858
987746,39515858
7832177,25956700
7832177,25956700
2952804,57004662
9274301,57004662
9274301,57004662
23299947,57004662
926003,57004662
32708637,52275485
10199256,52275485
34847528,98658
34847528,27626384
34847528,15323460
34847528,38812208
34847528,38812208
34847528,35103011
34847528,2927961
34847528,2927961
8965440,5527537
4773966,33573988
4773966,33573988
9517957,33573988
51448767,22112713
51448767,24642365
51448767,24642365
10140880,24642365
10140880,13498465
10140880,29909611
1526319,3668936
68939301,3668936
68939301,3668936
12338343,3668936
12338343,3668936
12338343,3668936
2434088,2625896
44210059,53850637
44210059,53850637
44210059,7023105
44210059,11478784
44210059,9363158
41248353,9363158
41248353,9363158
26096362,17047668
26096362,26336216
19924587,2332812
19924587,448701399
19924587,448701399
19924587,448701399
33501434,448701399
1644660,448701399
226948300,448701399
226948300,448701399
226948300,253374708
226948300,13282754
226948300,13282754
226948300,5426769
30519614,134826057
30519614,134826057
30519614,134826057
6552040,134826057
6999643,134826057
6999643,134826057
6999643,134826057
2166895,134826057
2166895,134826057
32859522,134826057
2562308,134826057
37282200,134826057
37282200,134826057
12980803,1792499
12980803,1803600
21400046,12104687
89779715,8917674
89779715,21114552
89779715,21114552
4193914,42696977
185801174,42696977
185801174,42696977
6843497,42696977
125347462,5994971
10012927,3313520
5320108,12355428
4625735,19235414
12371549,20874436
12371549,20874436
25183378,20874436
25183378,105888103
25183378,105888103
25183378,105888103
39515858,105888103
57004662,105888103
57004662,105888103
2507182,105888103
17668923,14960591
17668923,14960591
46967846,14960591
52275485,14960591
52275485,14960591
52275485,14960591
22906364,5681814
27626384,13672709
27626384,2945558
16521613,1291185
16521613,20751391
16521613,20751391
16521613,20751391
38812208,20751391
18046836,20751391
23750715,20751391
35103011,16716327
35103011,16716327
2927961,16716327
5527537,16716327
5527537,16716327
43199545,16716327
21343069,1632544
14350367,65234488
14350367,65234488
14350367,65234488
14350367,65234488
14350367,26097070
14350367,26097070
14350367,8380106
5845164,8380106
5845164,8380106
20670133,8380106
20670133,8380106
33573988,44625170
22112713,10742086
39155203,1518927
67796409,33614804
67796409,33614804
67796409,2291916
24642365,27107902
24642365,24281604
24642365,24281604
24642365,24281604
24642365,24281604
44599503,111945806
44599503,111945806
44599503,111945806
4492488,111945806
4492488,6300636
5010274,5301167
5010274,5301167
3371517,5301167
14543562,7756713
1748819,11219071
13124224,18228618
6008376,18228618
6008376,24018312
1420573,78020900
2625896,78020900
53850637,78020900
29129637,78020900
29129637,78020900
29129637,78020900
16252427,78020900
16252427,183310413
30955876,183310413
30955876,183310413
11478784,183310413
3566046,959578
5207930,24194288
5207930,5040399
9399050,5040399
448701399,4391605
448701399,4391605
448701399,
448701399,
448701399,
448701399,
448701399,
448701399,
253374708,
253374708,
253374708,
11926431,
2293931,
21780683,
1377290,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
134826057,
7327991,
4221341,
12104687,
1818482,
26454594,
9085524,
9085524,
47079549,
47079549,
6367867,
6367867,
21114552,
21114552,
21114552,
21114552,
21114552,
42696977,
42696977,
42696977,
42696977,
42696977,
42696977,
42696977,
20443059,
20443059,
23214099,
23214099,
7986831,
7986831,
12355428,
19509987,
5891582,
5891582,
5891582,
94393519,
94393519,
94393519,
51195734,
51195734,
51195734,
6731900,
6731900,
6731900,
105888103,
42852874,
2740110,
13672709,
1264233,
40364822,
20751391,
20751391,
20751391,
16716327,
16716327,
4774626,
20019879,
65234488,
65234488,
65234488,
65234488,
65234488,
65234488,
65234488,
26097070,
44625170,
44625170,
44625170,
44625170,
44625170,
44625170,
44625170,
1698214,
5288245,
3501241,
4039777,
84328710,
84328710,
13580170,
46243850,
4571713,
18466915,
2149234,
1721214,
4021540,
111945806,
111945806,
111945806,
111945806,
20530534,
20530534,
3177702,
36532847,
36532847,
36532847,
36532847,
939412,
939412,
939412,
11634947,
13287876,
13287876,
16515369,
16515369,
16515369,
16515369,
7756713,
11219071,
8362998,
132444245,
132444245,
132444245,
132444245,
132444245,
132444245,
132444245,
14520062,
37510926,
37510926,
78020900,
78020900,
78020900,
78020900,
78020900,
78020900,
78020900,
183310413,
183310413,
183310413,
183310413,
183310413,
1137073,
48611204,
3350713,
14945041,
2739044,
45664480,
45664480,
5040399,
2464526,
3469157,
3469157,
3175426,
1917073,
13951344,
13182721,
