NotSuccess,Success
4800000,37625450
10711236,37625450
10711236,37625450
8000000,37625450
7314611,37625450
4600000,37625450
4600000,37625450
4600000,37625450
4600000,37625450
4600000,31312839
4600000,31312839
4600000,6900000
4600000,6900000
4600000,6900000
80000000,6900000
80000000,45273890
80000000,45273890
3131967,45273890
4824578,45273890
4824578,45273890
4824578,45273890
4824578,45273890
4467348,45273890
4467348,45273890
4467348,45273890
4467348,45273890
4467348,49938251
4467348,49938251
3000000,6309050
16999141,6309050
16999141,6309050
16999141,6309050
16999141,3114907
16590192,24442362
20303715,24442362
20303715,46913999
20303715,46913999
82615880,46418016
6243873,46418016
143000000,46418016
143000000,46418016
143000000,46418016
143000000,46418016
3500000,12153539
3500000,12153539
4934090,4696422
26200000,4696422
10268282,4266521
10268282,4266521
10268282,4266521
100000000,4266521
100000000,4266521
100000000,4266521
100000000,12500000
100000000,12500000
100000000,12500000
100000000,3234838
100000000,3234838
100000000,9507423
100000000,22784765
100000000,22784765
100000000,22784765
100000000,22784765
100000000,22784765
100000000,22784765
100000000,22784765
100000000,22784765
100000000,22784765
100000000,22784765
100000000,22784765
190061000,22784765
23422141,3549725
1000000,3549725
1000000,3549725
12881396,3549725
1600000,41419165
35194730,41419165
35194730,41419165
35194730,41419165
35194730,41419165
5186144,41419165
31612687,41419165
5923381,41419165
5923381,41419165
5923381,67569343
5923381,67569343
5923381,80000000
5923381,80000000
24095000,80000000
24095000,80000000
4422828,80000000
4422828,80000000
10179809,80000000
14721049,80000000
3647689,80000000
7529245,80000000
7529245,80000000
11700000,32783000
8700764,32783000
46751000,32783000
46751000,32783000
46751000,32783000
46751000,32783000
13308376,32783000
13308376,32783000
3786811,38681982
4500000,38681982
3300000,30295796
13463207,30295796
5159907,30295796
5159907,30295796
3681229,30295796
3215149,30295796
3215149,30295796
27281597,30295796
6387562,30295796
6387562,62771542
6387562,62771542
24557316,62771542
34495999,62771542
34495999,62771542
34495999,62771542
9315015,62771542
9315015,62771542
4000000,62771542
6752344,3016019
6752344,3016019
48184636,3016019
5364099,151061000
41100000,151061000
3801644,151061000
6666526,151061000
11554176,9035458
125000000,9035458
125000000,39000000
18193744,115064000
18193744,115064000
18193744,115064000
18193744,115064000
18193744,17927740
18193744,17927740
5148288,17927740
5648401,17927740
5648401,13605715
6240718,13605715
14259000,4816362
288504,4816362
14199436,4816362
3844474,4732819
3185232,4732819
9400000,3850734
6421303,4918983
3081604,4811290
9008979,4811290
3283689,4811290
257100000,4811290
9430000,4811290
9092818,4811290
6000000,4811290
6000000,28187547
6000000,28187547
6000000,28187547
6000000,10837369
6000000,10837369
6000000,6000000
6000000,6000000
23000000,9026046
7460881,126000000
7460881,126000000
6864360,126000000
12000000,126000000
26122078,126000000
22994047,126000000
9807363,126000000
6098582,126000000
6098582,126000000
3124420,126000000
1000,126000000
1000,126000000
9734131,126000000
4317763,126000000
4317763,126000000
11000000,4909895
11000000,11225808
11000000,5407908
11000000,15000000
11000000,15000000
11000000,8783433
11000000,8783433
10970426,27000000
10970426,27000000
10970426,27000000
28692208,7800000
21900000,7800000
21900000,4491716
21900000,4491716
21900000,4491716
3442401,3230414
9492837,9677685
9492837,7658579
9492837,5365293
15065353,50000000
38828000,3000000
38828000,25300000
17500000,25300000
46800000,12413825
53565166,12413825
53565166,12413825
53565166,12413825
8464750,8060232
