NotSuccess,Success
441226,749972
749823,749998
412591,749978
1505760,1499970
749965,850365
1199320,4469017
1475870,1499990
750000,3999979
1168060,3482480
749817,740707
1115580,715518
749920,1249686
749919,899912
1488128,3770807
1145860,1499977
998716,1890000
773783,747296
722631,736382
2346999,498188
906224,658231
1493492,730000
1704854,500000
1093141,750000
3142917,1849971
1499964,737162
742281,1843276
1099150,999633
4269563,787039
997198,1749186
999768,6299937
900390,749905
549582,1453324
747718,930653
1249140,2999759
1474620,1874747
749861,750000
1749878,1359930
599979,749957
1349544,999922
495585,1249867
445361,1737980
445367,1498751
750000,749281
1481463,1499759
2067181,1899859
749989,698339
996234,1611673
998285,600000
1857584,449998
1149891,2249990
487098,738228
998654,1477304
2698680,999711
1492803,985830
737643,749964
299980,1431955
1194157,746980
2999910,749878
1125000,600000
749943,1102220
989255,742795
1465040,749999
1199172,5236444
600000,2499881
749979,999239
4273910,999957
1200242,1717145
891400,3366164
599727,2999878
2929690,2472815
648187,249976
1599930,789719
1203938,747900
249997,481553
749661,1472850
875921,436751
1471352,1632980
749149,749993
1499023,1229950
1499988,750878
375000,749999
1426050,899816
999652,3634940
778008,749998
999937,1497977
4056590,3304450
2248730,1149343
749975,849421
509451,749965
538422,746505
1068040,749907
751743,749998
2164370,1534983
743043,999767
704676,1496650
1499989,1498110
1586690,1496915
744259,2198814
749997,1874969
997228,791367
999051,2999860
791255,1499927
1203934,749584
749399,746701
2248133,1487235
749806,1641380
249987,743653
1686300,1007546
1500000,499505
749904,791957
929855,979143
1414479,716844
745289,1463859
800767,499396
794952,3082990
749659,985564
1579436,1500000
167175,377966
2992336,2820094
1537353,750000
1500000,1599995
742151,1269995
749293,597197
746632,227513
581896,1186388
749999,748556
295998,999935
600000,150000
995231,715982
749929,999452
749929,499980
2375670,749908
745677,750000
1199954,924020
600000,1488500
647688,799991
499567,749990
2508291,999960
956118,265502
1997762,1235432
928263,1935231
2540484,1184992
2999925,300000
1499968,1637000
999814,1318330
899879,600000
735708,2237120
597567,1508395
729717,931873
999934,1764380
500000,434679
437688,597235
749954,749767
700000,738958
2499994,1499856
300000,729974
499925,749906
749689,1249859
1314795,999787
750001,750000
1949975,250000
1499995,778314
723320,2090866
1099441,599917
890074,1747460
1688047,1499990
999932,747237
673704,1766567
1114890,499995
1037890,3023340
3065820,1949850
848422,1499985
730000,999999
999951,1013050
691081,749936
1028483,749983
499995,741026
1699997,348194
999995,999997
750000,1499990
704756,1004174
499972,599995
2099550,999313
924601,1178090
1125310,599861
2249520,674138
779913,1419397
729967,996136
499912,443955
1577120,2499986
349745,999858
749662,743012
599984,1547120
748889,748017
749824,749900
749484,998817
749957,829745
895953,599890
1194074,959842
1496587,749999
1419142,749735
1588512,1754290
752910,1249640
4311440,764990
1499158,749769
1478650,1499998
750000,1499994
1599975,1500000
1449985,1500000
998125,995897
1494565,4135821
699934,1000000
994191,1600000
749965,450000
299890,752951
749940,1000000
1049665,750000
1493080,1449990
749999,750000
494666,1851580
1038853,750000
848400,1499934
750000,599693
748390,3084178
1600000,749450
749490,749096
749906,1508220
740237,976934
722430,730697
299998,584580
749929,965468
1486057,1226470
365591,749888
3006590,1330340
749912,999900
699661,1499646
1597211,1499420
1597211,750012
9351430,454155
776032,740075
744842,580587
1830260,742955
830136,750000
749949,
749934,
999995,
2498380,
749507,
1499970,
1674966,
739631,
1436682,
748100,
2750276,
730134,
499217,
795962,
992817,
749265,
749917,
1249915,
705604,
499817,
3942100,
736126,
493760,
393950,
995865,
796305,
1499743,
1491808,
842083,
749057,
750048,
2583030,
825511,
998131,
599686,
492661,
499971,
599865,
749956,
298888,
483302,
735677,
973925,
375595,
974936,
1592709,
885018,
749653,
1774697,
2258342,
499986,
600000,
299984,
593135,
684613,
742476,
747170,
1502540,
2119414,
999764,
1651943,
1300410,
1600000,
749999,
599998,
599949,
200005,
760000,
2599983,
2835893,
750000,
850000,
1739810,
1599331,
749955,
349976,
1749992,
1497917,
2420502,
1510881,
1492193,
770000,
749980,
599947,
750000,
749976,
945166,
749746,
493741,
1180346,
600000,
591917,
3224730,
4720160,
1296961,
3749982,
1199511,
2248042,
1369709,
5999768,
613368,
1491341,
1717576,
1400040,
1498531,
1499994,
4086588,
449766,
599991,
995355,
1722570,
595514,
999673,
749025,
1499235,
3960000,
729485,
749714,
985542,
499937,
1485751,
593972,
1498722,
3988670,
499959,
1499066,
2486920,
1490761,
952329,
1998329,
2999672,
489715,
2595800,
2245900,
1499933,
2799876,
2020942,
558858,
4317920,
1499891,
746834,
1100670,
194949,
1578430,
1999479,
999565,
748898,
312750,
6998585,
1829412,
996069,
499550,
1499805,
949101,
1493168,
400000,
1070960,
1318460,
748721,
996062,
1523812,
2598990,
1499740,
749943,
753228,
1200819,
1499204,
749954,
1057342,
749781,
749991,
1499770,
749569,
1499956,
3921060,
968833,
741619,
499947,
1176920,
1482443,
495414,
1813404,
749829,
3173130,
3589790,
1484174,
749959,
936854,
449991,
4072260,
3726900,
2195500,
917052,
2460719,
750000,
2736280,
1728291,
1463686,
1831478,
1747130,
1499982,
749862,
1941175,
749998,
771625,
1492381,
729999,
4422280,
1071380,
749807,
593868,
1044570,
899967,
746439,
748254,
799932,
749911,
589045,
1327940,
744885,
1148514,
1499829,
2440842,
599994,
899784,
1689670,
1993982,
748763,
749902,
746492,
644408,
1599997,
748951,
1576733,
489651,
2098746,
749653,
1698536,
749994,
999733,
1099931,
1494145,
1599918,
1824633,
1499398,
715186,
1207729,
699935,
499967,
650000,
749827,
496245,
750000,
1104310,
1499984,
735572,
1499694,
559423,
789003,
368147,
949595,
1073970,
1600000,
1499800,
749872,
1199460,
2122400,
648237,
1999902,
1593070,
1572717,
749832,
749753,
749989,
1399947,
750000,
1498912,
699930,
3288250,
1499982,
749954,
999834,
1499947,
750000,
735437,
745120,
735343,
1924352,
749915,
1195644,
2119750,
750000,
743007,
744788,
450048,
744719,
4008940,
485463,
585976,
743763,
750000,
749994,
724594,
728262,
3249010,
637720,
1100000,
764896,
599648,
1479120,
1475834,
749995,
1070958,
1100000,
2270830,
2199586,
914321,
492542,
450000,
749405,
2683069,
749999,
599983,
750000,
749979,
