NotSuccess,Success
8,10
19,5
17,6
13,6
11,4
0,7
5,6
0,8
0,1
1,7
5,10
6,8
6,6
9,16
16,3
17,11
13,17
14,13
34,17
30,17
24,11
26,18
12,18
6,19
15,15
6,24
5,16
6,12
14,12
42,12
46,5
31,3
34,4
16,20
4,18
9,23
11,18
46,35
10,32
6,35
6,32
6,35
8,34
6,14
8,17
7,8
15,14
29,43
32,39
35,43
9,54
6,49
38,47
41,19
32,19
36,19
38,14
43,15
32,6
35,12
31,13
31,15
37,19
27,18
34,20
33,22
37,18
35,16
29,19
28,19
3,18
41,13
12,16
9,23
14,23
25,30
9,24
3,24
9,24
4,23
18,29
26,21
28,22
14,30
18,9
12,2
13,9
22,0
41,5
42,1
37,2
40,4
15,7
13,9
9,2
5,4
10,12
7,30
29,35
14,28
18,30
15,34
14,39
11,29
13,37
23,7
8,10
0,13
20,13
18,8
13,11
26,2
5,12
9,2
25,1
29,1
33,30
27,26
21,32
13,16
16,33
10,29
17,22
13,31
7,33
16,12
19,14
36,17
13,9
7,9
19,13
3,11
49,22
19,31
21,11
25,29
30,19
26,19
20,28
31,28
27,30
23,31
6,24
5,20
1,24
14,35
27,44
27,41
22,12
14,9
20,15
16,20
20,26
30,24
0,33
45,20
12,34
5,30
5,31
11,30
6,32
8,27
9,33
7,31
3,20
12,22
6,34
19,29
16,25
24,23
7,21
48,30
22,34
21,21
12,27
7,24
12,27
14,28
9,33
4,32
8,31
10,26
22,6
22,8
25,11
25,7
25,11
23,18
26,14
7,18
7,15
5,12
12,16
8,14
4,14
3,13
12,10
21,24
9,12
14,18
13,50
65,9
17,25
6,33
23,29
8,12
1,14
2,19
2,19
25,8
8,25
5,38
9,40
23,32
6,28
3,24
15,23
11,36
7,28
25,20
45,17
19,31
14,16
10,27
32,17
16,17
16,34
25,33
13,31
1,18
20,21
23,24
15,31
31,14
20,22
38,23
41,16
41,19
38,14
29,26
8,9
11,13
23,2
36,
36,
44,
37,
32,
44,
49,
45,
19,
16,
17,
25,
30,
31,
29,
17,
29,
18,
23,
22,
11,
7,
3,
12,
7,
21,
35,
30,
20,
13,
21,
16,
20,
8,
4,
36,
39,
25,
28,
17,
7,
10,
9,
13,
23,
21,
14,
19,
14,
14,
13,
13,
12,
10,
29,
30,
41,
44,
44,
34,
39,
29,
36,
31,
21,
21,
35,
21,
11,
8,
9,
5,
0,
9,
7,
16,
21,
20,
17,
21,
30,
17,
8,
18,
13,
14,
17,
12,
16,
17,
29,
30,
2,
5,
14,
14,
24,
35,
11,
8,
8,
39,
45,
36,
39,
64,
26,
22,
20,
12,
11,
8,
16,
25,
21,
20,
11,
16,
17,
24,
20,
7,
20,
11,
24,
24,
11,
21,
10,
16,
25,
18,
13,
9,
24,
23,
14,
16,
14,
24,
8,
25,
17,
6,
27,
27,
9,
38,
15,
12,
35,
40,
12,
5,
15,
17,
21,
20,
32,
26,
29,
13,
5,
3,
13,
7,
8,
10,
8,
3,
6,
4,
16,
28,
19,
5,
19,
33,
8,
13,
3,
9,
5,
6,
9,
18,
22,
15,
12,
25,
14,
12,
38,
37,
32,
29,
43,
40,
43,
32,
35,
23,
32,
26,
38,
31,
8,
3,
18,
20,
7,
18,
7,
14,
16,
9,
17,
10,
10,
12,
17,
19,
21,
11,
6,
7,
17,
14,
6,
14,
2,
23,
7,
19,
15,
21,
20,
20,
10,
24,
24,
18,
22,
23,
11,
14,
10,
15,
13,
35,
45,
43,
33,
44,
43,
37,
41,
32,
7,
9,
4,
19,
32,
7,
35,
30,
19,
32,
5,
5,
4,
12,
22,
14,
16,
47,
49,
42,
44,
51,
42,
50,
54,
31,
33,
28,
31,
21,
18,
26,
15,
12,
63,
59,
65,
61,
1,
8,
16,
17,
6,
12,
12,
10,
3,
21,
48,
16,
19,
4,
4,
16,
13,
8,
6,
4,
28,
23,
22,
2,
5,
16,
43,
40,
25,
