NotSuccess,Success
25,180
55,53
49,72
7,72
44,44
42,86
90,72
35,125
40,3
58,105
90,97
89,9
89,5
84,9
150,8
177,80
32,120
24,105
25,120
40,115
19,70
24,125
33,125
33,114
31,95
36,130
33,136
35,90
7,28
96,28
100,6
100,5
95,18
60,50
40,45
95,85
110,72
200,150
35,130
32,150
40,130
40,145
61,145
3,40
16,77
10,12
45,28
61,32
74,35
85,31
15,31
11,31
335,30
253,27
300,70
333,65
300,14
244,19
280,9
360,72
225,100
250,114
335,130
174,130
341,130
332,163
335,130
333,72
192,130
171,130
50,130
77,16
10,25
7,25
80,25
60,98
35,78
2,78
35,80
4,79
15,90
159,94
22,90
7,101
15,39
7,3
7,115
12,8
96,23
90,17
19,20
22,22
39,22
43,115
20,30
11,28
20,218
165,113
49,60
68,129
83,113
83,60
68,57
19,121
23,54
145,33
18,80
30,140
165,135
38,85
35,120
50,12
18,110
36,12
125,6
24,6
24,150
18,115
71,200
105,60
130,200
281,145
44,95
51,155
24,200
50,25
31,30
250,30
27,12
95,10
28,25
40,15
25,22
37,41
460,45
60,215
55,220
50,220
63,269
58,120
57,183
13,183
67,130
56,49
4,70
40,16
3,30
55,29
64,25
25,25
33,12
50,65
7,13
35,15
60,17
31,9
20,17
10,18
15,18
65,110
15,110
36,150
61,62
15,51
5,11
65,12
70,39
15,283
7,227
15,198
35,135
45,298
22,372
28,125
80,235
75,229
14,255
10,255
10,334
12,289
18,283
34,227
36,14
35,14
33,18
35,12
31,47
35,96
36,85
13,80
13,55
24,33
225,65
83,35
37,25
22,25
109,30
7,14
41,15
110,50
110,28
100,15
53,11
7,60
100,22
125,35
372,60
160,80
160,80
27,8
15,43
10,25
30,195
309,105
17,85
4,52
20,58
26,120
27,87
45,75
28,76
43,93
35,63
10,145
65,76
80,80
73,99
20,86
100,91
100,69
15,125
30,165
35,91
52,65
36,40
68,44
150,62
150,56
65,65
47,54
25,46
24,65
22,5
24,
25,
32,
27,
18,
29,
45,
48,
26,
22,
40,
40,
29,
25,
32,
15,
45,
36,
30,
25,
21,
12,
7,
19,
12,
80,
199,
155,
35,
19,
20,
27,
150,
10,
1,
12,
25,
3,
63,
15,
48,
47,
65,
98,
45,
40,
18,
52,
35,
35,
22,
69,
69,
65,
158,
169,
235,
213,
213,
230,
357,
158,
10,
12,
28,
120,
200,
35,
165,
90,
49,
15,
96,
80,
22,
33,
50,
50,
33,
50,
72,
8,
7,
13,
185,
204,
20,
14,
16,
18,
16,
248,
2,
5,
8,
8,
20,
41,
40,
135,
130,
135,
179,
150,
165,
50,
30,
20,
14,
25,
240,
96,
456,
484,
488,
453,
210,
465,
465,
478,
462,
50,
453,
211,
478,
468,
208,
442,
144,
456,
468,
453,
312,
144,
478,
496,
410,
444,
397,
468,
32,
16,
62,
24,
13,
13,
10,
15,
6,
5,
84,
202,
22,
6,
14,
16,
13,
13,
14,
16,
16,
20,
7,
3,
20,
12,
20,
22,
18,
4,
12,
4,
65,
156,
9,
14,
30,
10,
35,
23,
12,
32,
17,
55,
48,
50,
80,
48,
35,
11,
27,
22,
48,
50,
50,
30,
56,
49,
56,
40,
393,
185,
360,
280,
408,
345,
15,
10,
49,
469,
35,
375,
9,
25,
27,
12,
27,
15,
17,
19,
23,
23,
280,
62,
16,
17,
200,
100,
16,
100,
14,
27,
11,
55,
43,
115,
75,
55,
39,
105,
105,
45,
115,
105,
70,
80,
85,
85,
85,
416,
330,
343,
428,
349,
339,
379,
383,
470,
29,
21,
20,
56,
50,
10,
51,
45,
260,
300,
46,
18,
16,
26,
67,
30,
33,
376,
340,
329,
403,
334,
333,
336,
419,
454,
400,
200,
271,
12,
10,
14,
27,
20,
312,
300,
300,
329,
35,
155,
155,
71,
130,
275,
47,
145,
150,
55,
280,
15,
70,
9,
91,
31,
21,
60,
56,
25,
14,
36,
13,
4,
10,
42,
10,
54,
21,
