NotSuccess,Success
8,22
1,22
1,22
4,22
36,22
36,9
6,9
6,140
24,140
24,140
16,140
16,140
16,140
12,140
12,140
41,140
1,140
11,140
13,24
13,24
13,4
13,4
10,4
1,4
5,2
5,12
105,12
105,228
105,228
105,228
14,228
2,228
2,228
58,17
17,17
17,3
17,3
9,58
9,58
9,58
9,58
5,22
5,22
12,22
12,12
23,12
2,27
9,48
9,48
5,48
7,48
8,48
8,48
8,48
8,48
59,48
17,32
55,51
7,51
1,51
35,51
66,51
48,51
48,5
62,5
15,34
15,34
44,34
27,34
2,34
40,34
28,34
28,34
28,45
28,45
28,45
22,45
22,45
2,35
3,35
1,23
16,23
8,23
17,23
5,209
15,209
1,209
1,209
7,209
7,209
4,32
28,13
1,13
31,19
11,187
7,187
6,120
6,12
10,23
48,15
48,15
48,15
11,15
11,15
11,15
2,15
75,55
75,18
13,18
13,5
13,5
2,435
14,435
14,435
32,435
1,435
36,435
36,435
36,435
6,1
6,26
6,16
6,16
3,6
3,6
3,82
36,82
36,82
79,12
79,26
79,13
3,54
4,19
6,25
5,25
12,33
12,33
16,33
16,33
16,9
16,5
40,134
62,134
62,134
3,134
19,134
19,134
48,134
50,77
50,77
50,77
23,77
22,77
22,77
17,77
17,184
17,184
17,184
40,184
21,184
34,22
34,22
5,22
8,22
8,9
41,9
24,9
7,9
7,159
17,159
17,58
27,58
22,48
38,48
73,48
73,32
73,32
27,32
27,51
27,51
27,51
27,34
47,34
47,34
47,45
5,45
5,45
5,23
5,23
3,23
13,23
1,23
15,209
6,209
6,209
3,32
3,32
29,13
29,13
29,5
39,5
39,187
5,187
3,120
3,120
252,120
252,88
252,88
16,12
1,12
25,23
110,23
110,16
110,55
110,55
110,28
110,435
110,435
110,435
110,435
110,435
110,435
110,435
110,5
110,12
110,26
110,26
110,2
10,32
3,8
11,19
2,77
3,77
3,77
45,77
45,77
7,77
7,77
21,184
21,184
21,184
21,184
21,1
42,
42,
42,
42,
42,
42,
42,
24,
24,
12,
17,
5,
5,
5,
48,
48,
48,
2,
2,
2,
99,
37,
2,
2,
39,
19,
19,
19,
16,
16,
5,
15,
63,
63,
63,
63,
63,
63,
63,
44,
44,
44,
44,
44,
44,
44,
2,
3,
4,
4,
79,
79,
6,
1,
1,
3,
102,
102,
102,
102,
4,
11,
11,
11,
12,
12,
16,
16,
16,
16,
4,
13,
13,
29,
29,
1,
50,
4,
19,
4,
39,
39,
3,
5,
3,
3,
5,
3,
14,
14,
41,
36,
36,
36,
36,
36,
36,
36,
6,
6,
24,
24,
16,
16,
16,
6,
12,
12,
15,
41,
41,
10,
14,
62,
62,
62,
105,
105,
105,
105,
105,
105,
105,
105,
105,
105,
105,
105,
105,
105,
4,
4,
17,
46,
6,
9,
9,
1,
4,
4,
1,
87,
87,
3,
3,
35,
35,
48,
62,
2,
4,
11,
2,
40,
28,
7,
1,
11,
180,
30,
7,
7,
7,
7,
7,
7,
3,
3,
3,
3,
3,
5,
5,
48,
48,
48,
48,
75,
75,
7,
2,
9,
9,
9,
24,
36,
3,
5,
16,
40,
40,
62,
62,
62,
62,
62,
50,
50,
27,
22,
40,
40,
34,
5,
5,
8,
27,
27,
27,
22,
27,
27,
27,
14,
26,
4,
4,
4,
4,
4,
4,
3,
7,
5,
7,
7,
7,
15,
2,
252,
13,
13,
110,
110,
110,
110,
110,
110,
110,
110,
110,
110,
110,
110,
110,
2,
1,
11,
10,
21,
21,
42,
42,
42,
42,
3,
3,
12,
17,
18,
18,
18,
99,
99,
99,
99,
99,
99,
99,
13,
13,
13,
13,
13,
13,
2,
3,
1,
19,
19,
19,
19,
19,
19,
16,
16,
16,
16,
16,
16,
2,
63,
63,
63,
63,
9,
9,
9,
9,
9,
44,
10,
36,
36,
1,
27,
27,
27,
27,
102,
102,
102,
102,
4,
4,
4,
4,
13,
15,
15,
23,
3,
3,
5,
5,
