NotSuccess,Success
6091636,46084090
452423,46084090
452423,46084090
4983683,46084090
43069779,46084090
40930593,46084090
40930593,46084090
40930593,46084090
40930593,46084090
40930593,10390327
40930593,10390327
40930593,12013690
40930593,12013690
40930593,12013690
5982988,12013690
5982988,133351961
5982988,133351961
4295408,133351961
21744197,133351961
21744197,133351961
21744197,133351961
21744197,133351961
26648487,133351961
26648487,133351961
26648487,133351961
26648487,133351961
26648487,24281982
26648487,24281982
5739744,4180152
10988496,4180152
10988496,4180152
10988496,4180152
10988496,1789782
18472654,13250572
45023274,13250572
45023274,152552603
45023274,152552603
665110,237587349
13130532,237587349
11814026,237587349
11814026,237587349
11814026,237587349
11814026,237587349
10632150,20107531
10632150,20107531
13323068,3606982
1145277,3606982
56770220,53315497
56770220,53315497
56770220,53315497
6657368,53315497
6657368,53315497
118357571,53315497
118357571,24805895
118357571,24805895
118357571,24805895
118357571,11589394
118357571,11589394
118357571,30406849
118357571,70896106
118357571,70896106
118357571,70896106
118357571,70896106
118357571,70896106
118357571,70896106
118357571,70896106
118357571,70896106
118357571,70896106
118357571,70896106
118357571,70896106
14711465,70896106
2364443,37169472
2897357,37169472
2897357,37169472
2066294,37169472
54261739,49872889
22448573,49872889
22448573,49872889
22448573,49872889
22448573,49872889
44433362,49872889
5414313,49872889
13902388,49872889
13902388,49872889
13902388,9274301
13902388,9274301
13902388,34847528
13902388,34847528
4060984,34847528
4060984,34847528
8671498,34847528
8671498,34847528
2234074,34847528
26476680,34847528
1015031,34847528
12153583,34847528
12153583,34847528
3850360,44210059
6902333,44210059
6906101,44210059
6906101,44210059
6906101,44210059
6906101,44210059
5469281,44210059
5469281,44210059
53466468,41248353
18543446,41248353
1865086,19924587
51515506,19924587
80974318,19924587
80974318,19924587
11003771,19924587
1975358,19924587
1975358,19924587
439652,19924587
31192253,19924587
31192253,226948300
31192253,226948300
77273891,226948300
49443030,226948300
49443030,226948300
49443030,226948300
55700642,226948300
55700642,226948300
1561716,226948300
14816130,32859522
14816130,32859522
3190895,32859522
10506496,12980803
54195490,12980803
38582653,12980803
3603112,12980803
1780939,6423513
38822802,6423513
38822802,21400046
28964097,185801174
28964097,185801174
28964097,185801174
28964097,185801174
28964097,125347462
28964097,125347462
10766024,125347462
36426035,125347462
36426035,92332432
2315087,92332432
3258360,10012927
884868,10012927
793384,10012927
13795422,25956700
8463681,25956700
17407776,15323460
3656997,18046836
12852496,14350367
802257,14350367
11074034,14350367
138779891,14350367
30711882,14350367
987746,14350367
7832177,14350367
7832177,53850637
7832177,53850637
7832177,53850637
7832177,16252427
7832177,16252427
7832177,5207930
7832177,5207930
2952804,26336216
3012543,448701399
3012543,448701399
23299947,448701399
4808857,448701399
926003,448701399
32708637,448701399
10199256,448701399
2769261,448701399
2769261,448701399
8965440,448701399
4773966,448701399
4773966,448701399
9517957,448701399
4906601,448701399
4906601,448701399
51448767,5426769
51448767,1377290
51448767,26454594
51448767,20443059
51448767,20443059
51448767,7986831
51448767,7986831
10140880,94393519
10140880,94393519
10140880,94393519
1526319,13672709
68939301,13672709
68939301,26097070
68939301,26097070
68939301,26097070
8365703,1518927
12338343,13580170
12338343,46243850
12338343,27107902
2434088,18466915
26096362,6300636
26096362,20530534
33501434,20530534
1644660,36532847
30519614,36532847
30519614,36532847
30519614,36532847
6552040,11634947
6999643,8362998
6999643,24018312
6999643,132444245
1524119,132444245
2166895,132444245
2166895,132444245
9153416,132444245
